symbol	hex	decimal
&	%26	38
,	%2C	44
/	%2F	47
:	%3A	58
;	%3B	59
=	%3D	61
@	%40	64
 	+	32
?	%22	34
<	%3C	60
>	%3E	62
#	%23	35
{	%7B	123
}	%7D	125
|	%7C	124
\	%5C	92
^	%5E	94
~	%7E	126
[	%5B	91
]	%5D	93
`	%60	96
